URL,문제제목,정답률,분류정보,태그1,태그2,태그3
https://www.hackerrank.com/challenges/py-the-captains-room,The Captain's Room,0.904113,Sets,set,,
https://www.hackerrank.com/challenges/py-check-subset,Check Subset,0.986416,Sets,고급 자료형,,
https://www.hackerrank.com/challenges/py-check-strict-superset,Check Strict Superset,0.95533,Sets,고급 자료형,,
https://www.hackerrank.com/challenges/class-1-dealing-with-complex-numbers,Classes: Dealing with Complex Numbers,0.912321,Classes,객체 지향적 사고,,
https://www.hackerrank.com/challenges/class-2-find-the-torsional-angle,Class 2 - Find the Torsional Angle,0.972841,Classes,객체 지향적 사고,,
https://www.hackerrank.com/challenges/zipped,Zipped!,0.97752,Built-Ins,함수 사용,,
https://www.hackerrank.com/challenges/input,Input(),0.957407,Built-Ins,입출력 기초,,
https://www.hackerrank.com/challenges/python-eval,Python Evaluation,0.972603,Built-Ins,함수 사용,,
https://www.hackerrank.com/challenges/python-sort-sort,Athlete Sort,0.961567,Built-Ins,기타,,
https://www.hackerrank.com/challenges/any-or-all,Any or All,0.943856,Built-Ins,연산,,
https://www.hackerrank.com/challenges/ginorts,ginortS,0.964414,Built-Ins,Sorting,,
https://www.hackerrank.com/challenges/introduction-to-regex,Detect Floating Point Number,0.917035,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/map-and-lambda-expression,Map and Lambda Function,0.940121,Python Functionals,고급 자료형,,
https://www.hackerrank.com/challenges/re-split,Re.split(),0.939759,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/validate-list-of-email-address-with-filter,Validating Email Addresses With a Filter,0.880835,Python Functionals,정규표현식,,
https://www.hackerrank.com/challenges/re-group-groups,"Group(), Groups() & Groupdict()",0.926869,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/reduce-function,Reduce Function,0.985904,Python Functionals,고급 자료형,,
https://www.hackerrank.com/challenges/re-findall-re-finditer,Re.findall() & Re.finditer(),0.889458,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/re-start-re-end,Re.start() & Re.end(),0.952184,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/re-sub-regex-substitution,Regex Substitution,0.923924,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/validate-a-roman-number,Validating Roman Numerals,0.903711,Regex and Parsing,정규표현식,,
