https://www.acmicpc.net/problem/ + 문제번호 -> URL,,,,,,,
문제번호,문제제목,정답률,분류정보,사용여부,태그1,태그2,태그3
2747,피보나치 수,46.87%,피보나치 수 단계,,흐름제어,함수 사용,
2748,피보나치 수 2,41.65%,피보나치 수 단계,,함수 사용,동적 프로그래밍,
2749,피보나치 수 3,36.84%,피보나치 수 단계,X,동적프로그래밍,알고리즘기타,
1003,피보나치 함수,29.13%,피보나치 수 단계,,동적 프로그래밍,함수 사용,
11050,이항 계수 1,64.35%,이항 계수 단계,,함수 사용,흐름제어,
11051,이항 계수 2,38.37%,이항 계수 단계,,동적 프로그래밍,,
11401,이항 계수 3,49.09%,이항 계수 단계,X,,,
10872,팩토리얼,61.97%,이항 계수 단계,,함수 사용,,
1676,팩토리얼 0의 개수,46.07%,이항 계수 단계,,흐름제어,,
2407,조합,32.64%,이항 계수 단계,,동적 프로그래밍,,
6591,이항 쇼다운,23.99%,이항 계수 단계,,흐름제어,,
9375,패션왕 신해빈,53.06%,이항 계수 단계,,dictionary,,
1149,RGB거리,46.46%,동적 계획법 기초 단계,,동적 프로그래밍,,
1932,정수 삼각형,57.77%,동적 계획법 기초 단계,,동적 프로그래밍,,
2579,계단 오르기,38.92%,동적 계획법 기초 단계,,동적 프로그래밍,,
1463,1로 만들기,32.06%,동적 계획법 기초 단계,,동적 프로그래밍,,
1005,ACM Craft,18.20%,동적 계획법 기초 단계,,동적 프로그래밍,,
10844,쉬운 계단 수,28.46%,동적 계획법 기초 단계,,동적 프로그래밍,,
2293,동전 1,41.57%,동적 계획법 기초 단계,,동적 프로그래밍,,
2156,포도주 시식,34.38%,동적 계획법 기초 단계,,동적 프로그래밍,,
1520,내리막 길,26.71%,동적 계획법 기초 단계,,동적 프로그래밍,,
9251,LCS,41.97%,동적 계획법 기초 단계,,동적 프로그래밍,,
11066,파일 합치기,52.07%,동적 계획법 기초 단계,,동적 프로그래밍,,
1912,연속합,27.00%,동적 계획법 기초 단계,,동적 프로그래밍,,
9461,파도반 수열,38.32%,동적 계획법 기초 단계,,동적 프로그래밍,,
9252,LCS 2,41.69%,동적 계획법 기초 단계,,동적 프로그래밍,,
2490,윷놀이,59.09%,구현 단계,,흐름제어,,
1022,소용돌이 예쁘게 출력하기,31.36%,구현 단계,,흐름제어,,
3053,택시 기하학,41.75%,구현 단계,,연산,,
1934,최소공배수,58.80%,최대공약수/최소공배수 단계,,함수 사용,,
13241,최소공배수,63.09%,최대공약수/최소공배수 단계,,함수 사용,,
2609,최대공약수와 최소공배수,66.49%,최대공약수/최소공배수 단계,,함수 사용,,
1850,최대공약수,27.70%,최대공약수/최소공배수 단계,,함수 사용,,
2981,검문,21.57%,최대공약수/최소공배수 단계,X,함수 사용,,
